spdiversity,fndiv,Substrate,vial,tube,time,dC_dt
1,1,Spruce,113,15,2.76,1.10
1,1,Spruce,121,16,2.77,0.63
1,1,Spruce,129,17,2.77,63.16
1,1,Spruce,137,18,2.77,2.00
1,1,Spruce,145,19,2.78,0.42
1,1,Spruce,153,20,2.78,23.81
1,1,Spruce,161,21,2.79,0.48
1,1,Spruce,169,22,2.79,2.38
1,1,Spruce,177,23,2.79,0.60
1,1,Spruce,185,24,2.80,0.55
1,1,Spruce,2,25,2.75,0.83
1,1,Spruce,10,26,2.76,0.32
1,1,Spruce,18,27,2.76,0.78
1,1,Spruce,26,28,2.77,0.97
1,1,Spruce,34,29,2.79,1.54
1,1,Spruce,42,30,2.80,0.88
1,1,Spruce,50,31,2.84,1.09
1,1,Spruce,58,32,2.85,0.95
2,1,Spruce,66,33,2.86,42.09
2,1,Spruce,74,34,2.87,32.85
2,1,Spruce,82,35,2.89,30.92
2,1,Spruce,90,36,2.90,0.53
2,1,Spruce,98,37,2.93,0.89
2,1,Spruce,106,38,2.95,15.64
2,1,Spruce,114,39,2.96,0.80
2,1,Spruce,122,40,2.97,0.72
2,1,Spruce,130,41,2.98,0.72
2,1,Spruce,138,42,2.99,0.66
2,1,Spruce,146,43,3.00,0.34
2,1,Spruce,154,44,3.01,0.52
2,1,Spruce,162,45,3.02,0.62
2,1,Spruce,170,46,3.03,0.60
2,1,Spruce,178,47,3.04,0.15
2,1,Spruce,186,48,3.05,0.62
2,1,Spruce,3,49,2.75,0.68
2,1,Spruce,11,50,2.76,0.20
2,1,Spruce,19,51,2.77,0.75
2,1,Spruce,27,52,2.78,0.84
2,1,Spruce,35,53,2.79,0.82
2,1,Spruce,43,54,2.80,1.23
2,1,Spruce,51,55,2.84,1.08
2,1,Spruce,59,56,2.85,0.90
4,1,Spruce,67,57,2.86,28.42
4,1,Spruce,75,58,2.88,0.39
4,1,Spruce,83,59,2.89,0.77
4,1,Spruce,91,60,2.92,0.57
4,1,Spruce,99,61,2.94,0.89
4,1,Spruce,107,62,2.95,28.85
4,1,Spruce,115,63,2.96,0.98
4,1,Spruce,123,64,2.97,0.59
2,2,Spruce,131,65,2.98,41.24
2,2,Spruce,139,66,2.99,1.23
2,2,Spruce,147,67,3.00,0.39
2,2,Spruce,155,68,3.01,0.58
2,2,Spruce,163,69,3.02,40.00
2,2,Spruce,171,70,3.03,0.61
2,2,Spruce,179,71,3.04,0.47
2,2,Spruce,187,72,3.05,27.57
2,2,Spruce,4,73,2.75,40.23
2,2,Spruce,12,74,2.76,0.22
2,2,Spruce,20,75,2.77,0.30
2,2,Spruce,28,76,2.78,0.95
2,2,Spruce,36,77,2.79,0.81
2,2,Spruce,44,78,2.80,29.23
2,2,Spruce,52,79,2.84,1.02
2,2,Spruce,60,80,2.86,1.03
2,2,Spruce,68,81,2.87,1.06
2,2,Spruce,76,82,2.88,0.57
2,2,Spruce,84,83,2.89,0.42
2,2,Spruce,92,84,2.93,0.56
2,2,Spruce,100,85,2.94,0.94
2,2,Spruce,108,86,2.95,0.81
2,2,Spruce,116,87,2.96,0.63
2,2,Spruce,124,88,2.97,0.53
4,2,Spruce,132,89,2.98,37.00
4,2,Spruce,140,90,2.99,32.50
4,2,Spruce,148,91,3.00,27.90
4,2,Spruce,156,92,3.01,0.80
4,2,Spruce,164,93,3.02,0.49
4,2,Spruce,172,94,3.03,0.64
4,2,Spruce,180,95,3.04,35.42
4,2,Spruce,188,96,3.05,0.73
4,2,Spruce,5,97,2.75,30.00
4,2,Spruce,13,98,2.76,0.09
4,2,Spruce,21,99,2.77,0.53
4,2,Spruce,29,100,2.78,0.83
4,2,Spruce,37,101,2.79,24.74
4,2,Spruce,45,102,2.80,16.58
4,2,Spruce,53,103,2.85,28.63
4,2,Spruce,61,104,2.86,1.04
4,2,Spruce,69,105,2.87,0.91
4,2,Spruce,77,106,2.88,0.31
4,2,Spruce,85,107,2.89,0.56
4,2,Spruce,93,108,2.93,0.53
4,2,Spruce,101,109,2.94,0.81
4,2,Spruce,109,110,2.95,0.84
4,2,Spruce,117,111,2.96,0.80
4,2,Spruce,125,112,2.97,0.83
4,2,Spruce,133,113,2.98,0.84
4,2,Spruce,141,114,2.99,0.58
4,2,Spruce,149,115,3.00,0.46
4,2,Spruce,157,116,3.01,0.34
4,2,Spruce,165,117,3.02,0.54
4,2,Spruce,173,118,3.03,0.50
4,2,Spruce,181,119,3.04,0.70
4,2,Spruce,189,120,3.05,0.56
4,2,Spruce,6,121,2.75,0.48
4,2,Spruce,14,122,2.76,0.60
4,2,Spruce,22,123,2.77,0.59
4,2,Spruce,30,124,2.78,0.69
8,2,Spruce,38,125,2.79,16.86
8,2,Spruce,46,126,2.80,0.83
8,2,Spruce,54,127,2.85,15.03
8,2,Spruce,62,128,2.86,0.93
8,2,Spruce,70,129,2.87,0.85
8,2,Spruce,78,130,2.88,0.66
4,4,Spruce,86,131,2.89,26.59
4,4,Spruce,94,132,2.93,0.85
4,4,Spruce,102,133,2.94,14.96
4,4,Spruce,110,134,2.95,0.78
4,4,Spruce,118,135,2.96,28.79
4,4,Spruce,126,136,2.97,0.50
4,4,Spruce,134,137,2.98,0.67
4,4,Spruce,142,138,2.99,0.60
4,4,Spruce,150,139,3.01,17.98
4,4,Spruce,158,140,3.01,0.35
4,4,Spruce,166,141,3.02,0.44
4,4,Spruce,174,142,3.03,0.53
4,4,Spruce,182,143,3.04,32.32
4,4,Spruce,190,144,3.05,25.76
4,4,Spruce,7,145,2.76,0.28
4,4,Spruce,15,146,2.76,0.66
4,4,Spruce,23,147,2.77,32.23
4,4,Spruce,31,148,2.78,0.98
4,4,Spruce,39,149,2.79,1.12
4,4,Spruce,47,150,2.80,18.58
4,4,Spruce,55,151,2.85,27.49
4,4,Spruce,63,152,2.86,0.84
4,4,Spruce,71,153,2.87,0.83
4,4,Spruce,79,154,2.88,0.96
